Year,Quarter,Area of Residence,Reason for Journey,Avg Length of Stay,Expenditure,Overseas Trip Percentage,Total Trips,Number of Trips,Season
2012,1,All Countries,All reasons for journey,6.8,483.0,100.0,1165100,1165100.0,Winter
2012,2,All Countries,All reasons for journey,7.0,816.0,100.0,1817300,1817300.0,Spring
2012,3,All Countries,All reasons for journey,8.1,994.0,100.0,2096700,2096700.0,Summer
2012,4,All Countries,All reasons for journey,7.2,622.0,100.0,1438000,1438000.0,Autumn
2013,1,All Countries,All reasons for journey,6.7,541.0,100.0,1251700,1251700.0,Winter
2013,2,All Countries,All reasons for journey,7.0,870.0,100.0,1893000,1893000.0,Spring
2013,3,All Countries,All reasons for journey,8.2,1186.0,100.0,2261000,2261000.0,Summer
2013,4,All Countries,All reasons for journey,6.8,665.0,100.0,1580100,1580100.0,Autumn
2014,1,All Countries,All reasons for journey,6.6,534.0,100.0,1342500,1342500.0,Winter
2014,2,All Countries,All reasons for journey,7.1,1001.0,100.0,2126600,2126600.0,Spring
2014,3,All Countries,All reasons for journey,8.1,1303.0,100.0,2440400,2440400.0,Summer
2014,4,All Countries,All reasons for journey,6.6,711.0,100.0,1694900,1694900.0,Autumn
2015,1,All Countries,All reasons for journey,6.5,590.0,100.0,1531300,1531300.0,Winter
2015,2,All Countries,All reasons for journey,7.0,1194.0,100.0,2344900,2344900.0,Spring
2015,3,All Countries,All reasons for journey,7.9,1551.0,100.0,2770900,2770900.0,Summer
2015,4,All Countries,All reasons for journey,6.4,873.0,100.0,1995900,1995900.0,Autumn
2016,1,All Countries,All reasons for journey,6.5,693.0,100.0,1784700,1784700.0,Winter
2016,2,All Countries,All reasons for journey,6.7,1261.0,100.0,2598900,2598900.0,Spring
2016,3,All Countries,All reasons for journey,7.7,1693.0,100.0,3061500,3061500.0,Summer
2016,4,All Countries,All reasons for journey,6.4,930.0,100.0,2139200,2139200.0,Autumn
2017,1,All Countries,All reasons for journey,6.2,684.0,100.0,1796100,1796100.0,Winter
2017,2,All Countries,All reasons for journey,6.6,1408.0,100.0,2769400,2769400.0,Spring
2017,3,All Countries,All reasons for journey,7.6,1736.0,100.0,3095600,3095600.0,Summer
2017,4,All Countries,All reasons for journey,6.9,1046.0,100.0,2270900,2270900.0,Autumn
2018,1,All Countries,All reasons for journey,6.5,795.0,100.0,1920700,1920700.0,Winter
2018,2,All Countries,All reasons for journey,6.3,1475.0,100.0,2951900,2951900.0,Spring
2018,3,All Countries,All reasons for journey,7.4,1832.0,100.0,3330900,3330900.0,Summer
2018,4,All Countries,All reasons for journey,6.3,1047.0,100.0,2412800,2412800.0,Autumn
2019,1,All Countries,All reasons for journey,6.0,763.0,100.0,2026700,2026700.0,Winter
2019,2,All Countries,All reasons for journey,6.5,1513.0,100.0,3021800,3021800.0,Spring
2019,3,All Countries,All reasons for journey,7.0,1824.0,100.0,3334400,3334400.0,Summer
2019,4,All Countries,All reasons for journey,6.2,1001.0,100.0,2424600,2424600.0,Autumn
2012,1,All Countries,Business,4.0,126.0,100.0,1165100,1165100.0,Winter
2012,2,All Countries,Business,4.4,136.0,100.0,1817300,1817300.0,Spring
2012,3,All Countries,Business,4.7,124.0,100.0,2096700,2096700.0,Summer
2012,4,All Countries,Business,6.6,144.0,100.0,1438000,1438000.0,Autumn
2013,1,All Countries,Business,4.8,152.0,100.0,1251700,1251700.0,Winter
2013,2,All Countries,Business,5.2,136.0,100.0,1893000,1893000.0,Spring
2013,3,All Countries,Business,5.4,124.0,100.0,2261000,2261000.0,Summer
2013,4,All Countries,Business,6.0,168.0,100.0,1580100,1580100.0,Autumn
2014,1,All Countries,Business,4.8,120.0,100.0,1342500,1342500.0,Winter
2014,2,All Countries,Business,5.2,179.0,100.0,2126600,2126600.0,Spring
2014,3,All Countries,Business,6.2,136.0,100.0,2440400,2440400.0,Summer
2014,4,All Countries,Business,6.1,153.0,100.0,1694900,1694900.0,Autumn
2015,1,All Countries,Business,4.8,151.0,100.0,1531300,1531300.0,Winter
2015,2,All Countries,Business,5.5,172.0,100.0,2344900,2344900.0,Spring
2015,3,All Countries,Business,6.0,163.0,100.0,2770900,2770900.0,Summer
2015,4,All Countries,Business,5.1,189.0,100.0,1995900,1995900.0,Autumn
2016,1,All Countries,Business,5.3,148.0,100.0,1784700,1784700.0,Winter
2016,2,All Countries,Business,5.2,198.0,100.0,2598900,2598900.0,Spring
2016,3,All Countries,Business,6.5,186.0,100.0,3061500,3061500.0,Summer
2016,4,All Countries,Business,5.9,191.0,100.0,2139200,2139200.0,Autumn
2017,1,All Countries,Business,5.0,151.0,100.0,1796100,1796100.0,Winter
2017,2,All Countries,Business,5.7,213.0,100.0,2769400,2769400.0,Spring
2017,3,All Countries,Business,6.6,199.0,100.0,3095600,3095600.0,Summer
2017,4,All Countries,Business,7.3,204.0,100.0,2270900,2270900.0,Autumn
2018,1,All Countries,Business,5.9,169.0,100.0,1920700,1920700.0,Winter
2018,2,All Countries,Business,5.7,189.0,100.0,2951900,2951900.0,Spring
2018,3,All Countries,Business,6.5,202.0,100.0,3330900,3330900.0,Summer
2018,4,All Countries,Business,6.6,184.0,100.0,2412800,2412800.0,Autumn
2019,1,All Countries,Business,5.3,167.0,100.0,2026700,2026700.0,Winter
2019,2,All Countries,Business,5.7,180.0,100.0,3021800,3021800.0,Spring
2019,3,All Countries,Business,6.5,198.0,100.0,3334400,3334400.0,Summer
2019,4,All Countries,Business,6.3,176.0,100.0,2424600,2424600.0,Autumn
2012,1,All Countries,Holiday/leisure/recreation,5.2,180.0,100.0,1165100,1165100.0,Winter
2012,2,All Countries,Holiday/leisure/recreation,6.4,453.0,100.0,1817300,1817300.0,Spring
